Day fraction since midnight on 	photom conc (mg/L)	photom (volts)	Source pressure (Pa)
0.616398264	0.070932642	2.973496437	104142.75
0.616421401	0.045367718	2.985714436	104142.75
0.616444562	0.049003504	2.983974695	104142.75
0.616467699	0.02949108	2.99331975	104142.75
0.616490842	0.027447013	2.994299889	104142.75
0.616513989	0.03053542	2.992819071	104142.75
0.616537149	0.02770753	2.994174957	104142.75
0.616560247	0.017851943	2.998903751	104142.75
0.616583394	-0.000178481	3.007568359	104142.75
0.616606513	-0.011864843	3.013193607	104142.75
0.616629672	-0.028886674	3.021400213	104142.75
0.616652819	-0.047602985	3.030441761	104142.75
0.616676	-0.039203908	3.02638197	104142.75
0.616699155	-0.05189025	3.032515526	104142.75
0.616722292	-0.038112756	3.025854826	104142.75
0.616745434	-0.066229157	3.039458513	104142.75
0.616768567	-0.062533006	3.037667751	104142.75
0.616791796	-0.063414492	3.038094759	104142.75
0.616814934	-0.074969173	3.043695927	104142.75
0.616838082	-0.090317451	3.051147223	104142.75
0.616861239	-0.074776985	3.043602705	104142.75
0.616884369	-0.107751951	3.059626818	104142.75
0.616907526	-0.134800762	3.07281518	104142.75
0.616930655	-0.125341296	3.068198443	104142.75
0.616953832	-0.114824712	3.063071489	104142.75
0.616976978	-0.106923297	3.059223414	104142.75
0.61700013	-0.125360355	3.068207741	104142.75
0.617023283	-0.154865921	3.082624197	104142.75
0.61704644	-0.176187903	3.093071699	104142.75
0.61706958	-0.157438248	3.083883286	104142.75
0.617092744	-0.145422712	3.078005076	104142.75
0.617115871	-0.179093242	3.094497204	104142.75
0.617138997	-0.1791666	3.094533205	104142.75
0.617162146	-0.167689994	3.088904858	104142.75
0.617185327	-0.193601489	3.101622582	104142.75
0.617208475	-0.202425242	3.1059618	104142.75
0.617231623	-0.22501038	3.117087841	104142.75
0.617254699	-0.234065026	3.121556282	104142.75
0.617277842	-0.236369029	3.122694016	104142.75
0.617301033	-0.245827451	3.127367735	104142.75
0.617324182	-0.235436782	3.122233629	104142.75
0.617347334	-0.247612551	3.128250361	104142.75
0.617370451	-0.25928548	3.134026289	104142.75
0.617393587	-0.253938526	3.131379604	104142.75
0.617416803	-0.255192101	3.13199997	104142.75
0.617439941	-0.22864455	3.118880749	104142.75
0.6174631	-0.209146336	3.109269857	104142.75
