Day fraction since midnight on 	photom conc (mg/L)	photom (volts)	Source pressure (Pa)
0.633689966	3.950451613	1.470426917	104142.75
0.633713103	3.918861866	1.480226755	104142.75
0.633736289	3.923962832	1.478641987	104142.75
0.633759418	3.900494814	1.485940456	104142.75
0.633782566	3.944023371	1.472418308	104142.75
0.633805695	3.953490973	1.469485879	104142.75
0.633828953	3.88802886	1.48982513	104142.75
0.633851974	3.861269236	1.498182297	104142.75
0.633875243	3.910539866	1.482814193	104142.75
0.633898402	3.894857884	1.487696409	104142.75
0.633921456	3.88566947	1.490561009	104142.75
0.633944603	3.843769074	1.503661156	104142.75
0.633967816	3.869287252	1.495675564	104142.75
0.633990945	3.91947794	1.480035305	104142.75
0.634014103	3.909799814	1.483044386	104142.75
0.634037267	3.855448246	1.500003457	104142.75
0.634060419	3.858378172	1.499086618	104142.75
0.634083561	3.884565353	1.490905404	104142.75
0.634106709	3.8328619	1.50708127	104142.75
0.634129865	3.899880886	1.486131668	104142.75
0.634152993	3.844890118	1.503309846	104142.75
0.63417613	3.879606724	1.492452741	104142.75
0.634199279	3.849724293	1.50179553	104142.75
0.634222438	3.873424292	1.494383097	104142.75
0.634245585	3.84641552	1.502831936	104142.75
0.634268724	3.847424269	1.502515912	104142.75
0.634291993	3.789272547	1.520791292	104142.75
0.634315031	3.783028841	1.52276051	104142.75
0.634338178	3.805727482	1.515607953	104142.75
0.634361321	3.797173977	1.518301129	104142.75
0.63438443	3.796159744	1.51862061	104142.75
0.634407579	3.768461466	1.527360439	104142.75
0.634430763	3.757134914	1.530942082	104142.75
0.634453899	3.782257795	1.523003817	104142.75
0.634477045	3.773380041	1.525806427	104142.75
0.63450022	3.792591572	1.519744992	104142.75
0.634523356	3.778371334	1.524230361	104142.75
0.634546535	3.790860891	1.520290494	104142.75
0.634569668	3.781063557	1.523380637	104142.75
0.634592818	3.800240755	1.517335177	104142.75
0.634615976	3.792452097	1.519788981	104142.75
0.634639132	3.825840473	1.509285212	104142.75
0.6346622	3.762063503	1.529383063	104142.75
0.63468536	3.701771021	1.548514605	104142.75
0.634708506	3.704205513	1.547739625	104142.75
0.634731711	3.704954147	1.547501326	104142.75
0.634754862	3.730555773	1.539364815	104142.75
0.634777954	3.743216276	1.535349727	104142.75
0.634801084	3.705704212	1.547262669	104142.75
0.634824234	3.739593744	1.536497951	104142.75
0.634847453	3.732830048	1.538643122	104142.75
0.634870599	3.730612755	1.539346695	104142.75
0.634893721	3.688685894	1.552683711	104142.75
0.634916862	3.753604412	1.532059431	104142.75
0.634940003	3.694741011	1.550753713	104142.75
0.634963172	3.713490725	1.544785738	104142.75
0.634986326	3.733235598	1.538514495	104142.75
0.635009521	3.69171381	1.551718473	104142.75
0.635032642	3.693850756	1.551037431	104142.75
0.635055804	3.69233489	1.551520467	104142.75
0.635078941	3.683866024	1.554220915	104142.75
0.635102103	3.676240683	1.556654573	104142.75
0.635125168	3.70160079	1.548568845	104142.75
0.635148307	3.698791266	1.549463511	104142.75
0.63517145	3.70508647	1.547459245	104142.75
0.63519468	3.720203877	1.542652011	104142.75
0.635217829	3.714989424	1.544309259	104142.75
0.635240943	3.715540886	1.544133902	104142.75
0.63526409	3.732659102	1.538697362	104142.75
0.63528722	3.710794449	1.54564321	104142.75
0.635310424	3.708903313	1.546244741	104142.75
0.635333565	3.705186844	1.547427297	104142.75
0.635356709	3.73735857	1.53720665	104142.75
0.635379873	3.801715374	1.516870856	104142.75
0.635403011	3.794564962	1.519123077	104142.75
0.635426162	3.721880674	1.542119265	104142.75
0.635449302	3.693308592	1.551210165	104142.75
0.635472439	3.662805796	1.560947418	104142.75
0.635495582	3.694892645	1.550705433	104142.75
0.635518745	3.691620112	1.551748276	104142.75
0.635541835	3.692399263	1.551499963	104142.75
0.635564985	3.737962484	1.5370152	104142.75
0.635588226	3.715377808	1.544185758	104142.75
0.635611361	3.711631775	1.545376897	104142.75
0.635634516	3.717167139	1.54361701	104142.75
0.635657645	3.703964472	1.547816396	104142.75
0.635680814	3.698070049	1.549693227	104142.75
0.635703946	3.661672115	1.561309934	104142.75
0.635727093	3.6921525	1.551578641	104142.75
0.635750246	3.638960362	1.568582535	104142.75
0.635773332	3.702854633	1.548169613	104142.75
0.635796495	3.674667835	1.557156801	104142.75
0.63581968	3.648493767	1.565527558	104142.75
0.635842842	3.658334732	1.562377453	104142.75
0.635865973	3.689064741	1.552562952	104142.75
0.635889058	3.69459486	1.550800324	104142.75
0.635912214	3.656256914	1.563042283	104142.75
0.635935455	3.672634363	1.557806253	104142.75
0.635958609	3.61602664	1.575944901	104142.75
0.635981636	3.637027502	1.569202304	104142.75
0.636004894	3.666516304	1.559761167	104142.75
0.636028032	3.628029108	1.572089434	104142.75
0.636051186	3.587220669	1.585219145	104142.75
0.636074329	3.656809092	1.562865615	104142.75
