Day fraction since midnight on ,photom conc (mg/L),photom (volts),Source pressure (Pa)
0.594661989,-0.76987493,3.394171,104142.75
0.594685257,-0.592805386,3.30227232,104142.75
0.594708386,-0.620087087,3.316313505,104142.75
0.594731446,-0.621554136,3.317069769,104142.75
0.594754574,-0.630306125,3.321583986,104142.75
0.594777726,-0.646468401,3.329931974,104142.75
0.594800877,-0.68379277,3.34926796,104142.75
0.594824131,-0.730007827,3.373321533,104142.75
0.594847246,-0.769436002,3.393940926,104142.75
0.59487039,-0.80008024,3.410029411,104142.75
0.594893547,-0.775328159,3.397030115,104142.75
0.594916608,-0.793799639,3.406727552,104142.75
0.59493976,-0.780096591,3.399531603,104142.75
0.59496298,-0.766181052,3.392235279,104142.75
0.594986132,-0.773180366,3.395903826,104142.75
0.595009283,-0.802630901,3.411370993,104142.75
0.595032355,-0.823902011,3.422574043,104142.75
0.595055509,-0.841235519,3.431722879,104142.75
0.595078684,-0.852830231,3.437852621,104142.75
0.595101837,-0.855049193,3.439026594,104142.75
0.595124998,-0.871325135,3.447646618,104142.75
0.595148161,-0.883215725,3.453953981,104142.75
0.59517131,-0.878046572,3.451210976,104142.75
0.595194489,-0.877378225,3.450856447,104142.75
0.595217627,-0.876946271,3.450627327,104142.75
0.595240777,-0.882345617,3.453492165,104142.75
0.59526384,-0.896451891,3.460984945,104142.75
0.595287107,-0.910529673,3.468474388,104142.75
0.595310243,-0.91891402,3.472940445,104142.75
0.595333393,-0.933663726,3.480807304,104142.75
0.595356534,-0.936081111,3.482097864,104142.75
0.595379578,-0.930634499,3.479190588,104142.75
0.595402859,-0.931384146,3.479590654,104142.75
0.595425908,-0.933990657,3.480981827,104142.75
0.595449064,-0.935597062,3.481839418,104142.75
0.595472204,-0.938464344,3.483370543,104142.75
0.595495338,-0.951507866,3.490341902,104142.75
0.595518489,-0.957806468,3.493711948,104142.75
0.595541705,-0.95949322,3.49461484,104142.75
0.595564865,-0.954264462,3.491816521,104142.75
0.595588007,-0.949956477,3.489512205,104142.75
0.59561114,-0.952920795,3.491097689,104142.75
0.595634304,-0.955177486,3.49230504,104142.75
0.595657444,-0.957610011,3.493606806,104142.75
0.5956806,-0.95991987,3.494843245,104142.75
0.595703744,-0.962006033,3.495960236,104142.75
0.595726847,-0.963057637,3.49652338,104142.75
0.595750003,-0.970261872,3.500383139,104142.75
0.595773173,-0.972515106,3.501590967,104142.75
0.595796326,-0.976622462,3.503793478,104142.75
0.595819459,-0.982438803,3.506914139,104142.75
0.595842617,-0.985286713,3.508442879,104142.75
0.595865772,-0.986487925,3.509087801,104142.75
0.595888906,-0.981042028,3.506164551,104142.75
0.595912055,-0.981865287,3.50660634,104142.75
0.595935206,-0.98741895,3.509587765,104142.75
0.595958392,-0.987669349,3.509722233,104142.75
0.595981526,-0.988106251,3.509956837,104142.75
0.596004602,-0.988274932,3.510047436,104142.75
0.596027734,-0.989798367,3.510865688,104142.75
0.596050897,-0.99258405,3.512362242,104142.75
0.596074036,-0.997233987,3.514861345,104142.75
0.596097183,-0.999259651,3.515950441,104142.75
0.596120406,-1.002180696,3.517521381,104142.75
0.596143572,-1.00354445,3.518254995,104142.75
0.596166708,-1.005136609,3.519111633,104142.75
0.596189847,-1.004769802,3.518914223,104142.75
0.596213004,-1.004503846,3.518771172,104142.75
0.596236161,-1.004015565,3.518508434,104142.75
0.596259295,-1.005258918,3.519177437,104142.75
0.596282446,-1.005414009,3.519260883,104142.75
0.596305599,-1.005802631,3.519469976,104142.75
0.596328745,-1.005316615,3.519208431,104142.75
0.596351839,-1.004806995,3.51893425,104142.75
