Day fraction since midnight on 	Photometer Conc (mg/L)
0.618183665	4.814025879
0.618241536	4.832156658
0.618299394	4.840533257
0.618357254	4.853318691
0.618415128	4.859509468
0.61847301	4.872736454
0.618530862	4.88158989
0.618588728	4.899125099
0.61864661	4.909530163
0.618704482	4.918446541
0.618762349	4.926095009
0.618820207	4.940002918
0.618878085	4.954640865
0.618935939	4.9703722
0.618993803	4.973556995
0.61905169	4.984871388
0.61910955	4.994680882
0.619167415	5.015341759
0.619225286	5.025118351
0.619283165	5.035033226
0.61934103	5.042462349
0.619398999	5.05534935
0.619456774	5.065687656
0.619514637	5.078121662
0.619572507	5.087840557
0.619630373	5.099106789
0.619688361	5.103464603
0.619746224	5.118432999
0.619804079	5.128942967
0.619861952	5.144418716
0.619919834	5.15165472
0.619977695	5.16527319
0.620035563	5.175766945
0.620093432	5.187857151
0.620151309	5.19696331
0.620209161	5.208359718
0.620267047	5.219207287
0.620324909	5.22962904
0.620382776	5.238301754
0.620440637	5.249675274
0.620498496	5.259680271
0.620556381	5.273102284
0.620614237	5.285376072
0.62067212	5.296300888
0.620729991	5.307016373
0.62078784	5.317540169
0.620845713	5.331151485
0.620903582	5.345860481
0.620961463	5.358913899
0.621019327	5.368523598
0.621077191	5.376987457
0.62113507	5.388957977
0.621192919	5.399745941
0.621250804	5.414567947
0.621308657	5.421602249
0.621366542	5.432027817
0.621424391	5.444048882
0.621482275	5.456980228
0.621540136	5.471045494
0.621598004	5.479845524
0.621655885	5.490468025
0.621713743	5.499825954
0.62177162	5.511569023
0.621829488	5.527430058
0.621887356	5.539143086
0.621945213	5.551597118
0.622003096	5.5591712
0.622060946	5.567409039
0.622118827	5.5825243
0.622176691	5.596605778
0.622234555	5.609675884
0.622292533	5.615537167
0.622350416	5.626111984
0.622408162	5.633964539
0.622466146	5.647745609
0.622524025	5.657883167
0.622581885	5.666633606
0.622639643	5.676389694
0.62269763	5.688398361
0.622755492	5.698531628
0.622813356	5.711454392
0.622871225	5.718894482
0.622929102	5.731912136
0.622986968	5.74388504
0.623044829	5.756288052
0.623102688	5.762711048
0.623160554	5.775808334
0.623218428	5.790380001
0.623276309	5.804647923
0.62333417	5.813801289
0.623392044	5.823969364
0.623449907	5.833132744
0.623507768	5.850536823
0.623565653	5.858473778
0.623623505	5.873888016
0.623681375	5.879819393
0.623739251	5.892203331
0.623797111	5.899798393
0.623854985	5.918748379
0.623912852	5.929830551
0.623970732	5.940614224
0.624028584	5.95069027
0.624086467	5.966030121
0.624144326	5.976041317
0.624202187	5.989850521
0.624260067	5.995270729
0.624317937	6.010600567
0.62437579	6.021008492
0.62443366	6.03519392
0.624491533	6.039798737
0.624549415	6.052144527
0.624607278	6.063867092
0.624665139	6.08012867
0.624723019	6.086366653
0.62478087	6.09775734
0.624838749	6.106401444
0.624896615	6.126362324
0.624954485	6.132732868
0.62501236	6.147074223
0.625070328	6.153466225
0.625128088	6.168559074
0.625185958	6.177410603
0.625243936	6.193841934
0.625301799	6.204690933
0.62535968	6.217898846
0.625417437	6.22499752
0.62547542	6.23989296
0.625533276	6.249787808
0.625591159	6.266121388
0.625649009	6.269652367
0.625706891	6.284130096
0.625764766	6.295596123
0.625822635	6.312396526
0.625880482	6.317783833
0.625938366	6.332339287
0.625996223	6.342909813
0.626054096	6.360321045
0.626111971	6.367356777
0.626169844	6.381284714
0.626227697	6.389282227
0.626285559	6.409849644
0.626343442	6.416006088
0.62640131	6.429565907
0.626459171	6.43204689
0.626517053	6.448177815
0.626574915	6.455505848
0.626632786	6.470975399
0.62669065	6.476262569
0.626748519	6.487675667
0.626806385	6.493587971
0.626864259	6.510574341
0.626922123	6.519197464
0.626979983	6.535117149
0.627037864	6.53448391
0.627095735	6.548538685
0.627153593	6.557873249
0.627211469	6.578087807
0.627269328	6.582808018
0.627327201	6.595698357
0.627385063	6.604571819
0.627442932	6.625379086
0.627500807	6.631914616
0.627558671	6.64234066
0.627616547	6.648700714
0.6276744	6.66990757
0.627732269	6.674895763
0.627790151	6.688559532
0.627848005	6.690432549
0.62790599	6.711144924
0.627963856	6.718449593
0.62802163	6.734827519
0.628079499	6.739285946
0.628137466	6.754634857
0.62819523	6.759453297
0.628253205	6.776792049
0.628311082	6.784083843
0.628368957	6.802057266
0.62842681	6.803087235
0.628484687	6.819374561
0.628542555	6.825634003
0.628600421	6.846506119
0.628658293	6.846612454
0.628716147	6.858416081
0.628774015	6.865342617
0.628831896	6.887012482
0.628889753	6.89477253
0.628947637	6.907030106
0.629005491	6.910182953
0.629063354	6.93302536
0.629121232	6.937941074
0.629179107	6.954262257
0.629236974	6.953922272
0.629294843	6.97251749
0.629352696	6.977737427
0.629410623	6.994771481
0.629468489	6.998322964
0.629526356	7.01401329
0.629584216	7.019692421
0.629642058	7.038511276
0.629699922	7.044201374
0.62975779	7.063935757
0.629815658	7.064826012
0.629873527	7.083678722
0.629931393	7.088614941
0.629989277	7.108000279
0.63004713	7.112055302
0.630105012	7.127397537
0.630162862	7.135096073
0.630220733	7.156671524
0.630278606	7.160224438
0.630336476	7.175291538
0.630394351	7.178371429
0.630452229	7.202090263
0.630510079	7.204434395
0.630567953	7.222230911
0.630625816	7.223528862
0.630683692	7.245343685
0.630741562	7.250977039
0.630799432	7.26758194
0.630857288	7.272598267
0.630915162	7.289365768
0.630973146	7.294095039
0.631031005	7.312847614
0.631088873	7.317881584
0.631146748	7.336380959
0.631204612	7.333905697
0.631262485	7.353158474
0.631320352	7.35967207
0.631378226	7.382305622
0.631436085	7.382335186
0.631493959	7.395420551
0.631551825	7.402835846
0.631609704	7.425013542
0.631667559	7.430566788
0.631725433	7.444768906
0.631783293	7.444944859
0.63184116	7.466801643
0.631899038	7.472881317
0.631956904	7.493396282
0.632014767	7.49257946
0.63207263	7.51236105
0.632130515	7.516558647
0.632188386	7.538176537
0.63224625	7.542116165
0.63230411	7.561834812
0.632361975	7.565437317
0.63241984	7.587041855
0.632477721	7.593515396
0.632535583	7.614134789
0.632593466	7.615261555
0.632651334	7.638902187
0.632709203	7.646043301
0.632767061	7.666066647
0.632824966	7.664231777
0.632882839	7.683564663
0.632940696	7.692210674
0.632998568	7.713222981
0.633056429	7.715248108
0.633114306	7.729781151
0.633172167	7.732461453
0.633230042	7.756944656
0.633287922	7.760577679
0.633345781	7.780837536
0.633403661	7.782015324
0.63346152	7.802737713
0.633519378	7.806231976
0.633577262	7.827420235
0.633635131	7.830759525
0.633692981	7.846439838
0.633750855	7.847515106
0.633808733	7.866874218
0.633866587	7.87090826
0.633924472	7.891542912
0.633982324	7.893098354
0.634040207	7.914682865
0.634098082	7.921195984
0.63415593	7.940145969
0.634213806	7.940581322
0.63427167	7.957653523
0.634329531	7.967798233
0.63438741	7.989866734
0.63444529	7.991556168
0.634503157	8.005507469
0.634561021	8.011013985
0.634618891	8.037845612
0.634676746	8.04065609
0.634734747	8.057694435
0.634792596	8.057394028
0.634850462	8.077268601
0.634908336	8.081478119
0.63496621	8.101489067
0.635024078	8.108345985
0.635081936	8.125380516
0.635139808	8.125453949
0.63519769	8.144248009
0.635255556	8.151199341
0.635313415	8.173397064
0.635371288	8.171905518
0.635429162	8.187267304
0.63548703	8.194687843
0.635544898	8.218585014
0.635602752	8.217702866
0.635660637	8.231889725
0.635718506	8.240195274
0.635776363	8.2623806
0.635834225	8.265238762
0.635892091	8.27882576
0.635949957	8.284510613
0.636007844	8.308258057
0.636065709	8.30983448
0.636123571	8.326335907
