Day fraction since midnight on 	Photometer Conc (mg/L)
0.711034124	-0.555683434
0.711091982	-0.556882501
0.711149857	-0.55375731
0.711207715	-0.55528748
0.711265589	-0.556633771
0.711323452	-0.556310475
0.711381322	-0.556043088
0.711439207	-0.556068718
0.711497069	-0.557657123
0.711554951	-0.556939364
0.711612809	-0.55578965
0.711670673	-0.555359662
0.71172854	-0.555736542
0.711786413	-0.557480574
0.711844277	-0.554670572
0.711902149	-0.55461514
0.71196002	-0.555316329
0.712017894	-0.554853678
0.712075765	-0.557329714
0.712133621	-0.560704112
0.712191481	-0.55972445
0.712249374	-0.558438182
0.712307223	-0.559794307
0.712365111	-0.557746112
0.712422975	-0.561025381
0.71248084	-0.5627805
0.712538706	-0.562942505
0.712596579	-0.560489476
0.712654447	-0.55768925
0.712712306	-0.558561146
0.712770183	-0.556807518
0.712828043	-0.556213617
0.712885912	-0.557681322
0.712943794	-0.557330132
0.713001664	-0.55740422
0.713059515	-0.555750072
0.713117384	-0.556577861
0.713175369	-0.557976186
0.713233132	-0.555510163
0.713291111	-0.556459546
0.713348874	-0.557171762
0.713406739	-0.558220208
0.713464612	-0.559575439
0.713522595	-0.562348068
0.713580469	-0.563568115
0.713638339	-0.566043079
0.713696187	-0.566354394
0.713754055	-0.566182256
0.71381193	-0.565916538
0.713869799	-0.566289723
0.713927564	-0.566214323
0.713985532	-0.565736413
0.714043412	-0.566907167
0.714101282	-0.567054689
0.714159152	-0.566505611
0.714217014	-0.566387892
0.714274876	-0.567213774
0.714332759	-0.568502069
0.714390563	-0.569390535
0.714448532	-0.568603933
0.714506291	-0.569636166
0.714564161	-0.569944501
0.71462204	-0.567559004
0.714679994	-0.56790936
0.714737781	-0.569138408
0.714795653	-0.569255173
0.714853516	-0.57086128
0.714911386	-0.570871949
0.714969257	-0.570117533
0.715027115	-0.570796132
0.715084985	-0.570435226
0.715142871	-0.569608688
0.715200734	-0.569569647
0.715258705	-0.570506871
0.715316593	-0.571009636
0.715374447	-0.5692752
0.715432321	-0.569272399
0.715490181	-0.571418405
0.715548047	-0.570844948
0.715605938	-0.569621265
0.715663786	-0.570915222
0.715721673	-0.571669042
0.715779528	-0.572019219
0.715837394	-0.572829723
0.715895269	-0.573473692
0.715953135	-0.571170092
0.716011013	-0.573461652
0.716068876	-0.573058009
0.716126747	-0.574335218
0.716184613	-0.572072744
0.716242492	-0.573755443
0.716300341	-0.57233125
0.716358219	-0.572740912
0.716416088	-0.572189927
0.716473947	-0.573368192
0.716531826	-0.574141324
0.716589699	-0.574262202
0.716647556	-0.572925985
0.716705424	-0.573750794
0.716763305	-0.576348484
0.716821172	-0.577001035
0.716879049	-0.575951517
0.716936915	-0.575187802
0.716994762	-0.576222062
0.717052635	-0.575280786
0.717110517	-0.576098859
0.717168372	-0.577405393
0.717226261	-0.574988365
0.717284107	-0.577271044
0.717342051	-0.577716291
0.717399911	-0.577892423
0.717457777	-0.579003513
0.717515649	-0.57699126
0.717573531	-0.578358531
0.717631386	-0.578328788
0.717689251	-0.578481197
0.717747126	-0.580104649
0.717804995	-0.580824792
0.717862881	-0.579208434
0.717920733	-0.579042971
0.717978607	-0.578383148
0.718036487	-0.579510868
0.718094342	-0.579028606
0.71815221	-0.579571307
0.718210074	-0.581328809
0.718267948	-0.581859767
0.718325825	-0.581402242
0.718383691	-0.580926538
0.718441547	-0.579759479
0.71849943	-0.581068695
